,date,open,close,low,ma5,ma10,ma20,KDJ.K,KDJ.D,KDJ.J,kdjdown,maup,both,earning,stoploss_point,stoploss,earning_with_stoploss
100, 2015/09/24,3126.491,3142.691,3109.691,3139.6,3125.7,3136.25,-113.905,-142.424,57.037,False,False,False,0.0,2657.51735,0.0,0.0
101, 2015/09/23,3137.721,3115.891,3104.741,3128.4,3131.3,3127.4,-122.093,-149.554,54.922,False,True,False,0.0,2667.06285,0.0,0.0
102, 2015/09/22,3161.321,3185.621,3152.48,3135.8,3144.0,3132.1,-128.038,-156.419,56.761,False,True,False,0.0,2687.12285,0.0,0.0
103, 2015/09/21,3072.091,3156.541,3060.861,3099.6,3142.4,3148.15,-140.865,-163.514,45.299,False,False,False,0.0,2611.27735,0.0,0.0
104, 2015/09/18,3100.281,3097.921,3070.341,3091.4,3134.9,3173.6,-152.226,-169.176,33.901,False,False,False,0.0,2635.23885,0.0,0.0
105, 2015/09/17,3131.981,3086.061,3085.311,3111.8,3141.1,3208.4,-158.544,-173.414,29.74,False,False,False,0.0,2662.18385,0.0,0.0
106, 2015/09/16,2998.041,3152.261,2983.541,3134.2,3149.1,3241.5,-163.094,-177.132,28.075,False,False,False,0.0,2548.33485,0.0,0.0
107, 2015/09/15,3043.801,3005.171,2983.921,3152.2,3154.4,3283.5,-173.271,-180.641,14.741,False,True,False,0.0,2587.23085,0.0,0.0
108, 2015/09/14,3221.171,3114.801,3049.231,3185.2,3177.2,3331.55,-168.762,-182.483,27.442,False,True,False,0.0,2737.99535,0.0,0.0
109, 2015/09/11,3189.481,3200.231,3163.451,3178.4,3174.0,3373.5,-171.716,-185.914,28.396,False,True,False,0.0,2711.05885,0.0,0.0
110, 2015/09/10,3190.551,3197.891,3178.901,3170.4,3146.8,3407.85,-181.686,-189.463,15.554,True,True,True,-427.059,2711.96835,-478.58265,-478.58265
111, 2015/09/09,3182.551,3243.091,3165.7,3164.0,3123.5,3444.35,-191.531,-191.407,-0.247,True,False,False,0.0,2705.16835,0.0,0.0
112, 2015/09/08,3054.44,3170.45,3011.12,3156.6,3120.2,3478.6,-205.913,-191.376,-29.073,True,False,False,0.0,2596.274,0.0,0.0
113, 2015/09/07,3149.38,3080.42,3066.3,3169.2,3153.9,3507.3,-213.878,-187.742,-52.272,True,False,False,0.0,2676.973,0.0,0.0
114, 2015/09/02,3027.68,3160.17,3019.09,3169.6,3212.3,3536.35,-211.768,-181.208,-61.118,True,False,False,0.0,2573.528,0.0,0.0
115, 2015/09/01,3157.83,3166.62,3053.74,3123.2,3275.7,3563.05,-214.113,-173.569,-81.089,True,False,False,0.0,2684.1555,0.0,0.0
116, 2015/08/31,3203.56,3205.99,3109.16,3083.0,3333.9,3592.6,-214.649,-163.432,-102.434,True,False,False,0.0,2723.026,0.0,0.0
117, 2015/08/28,3125.26,3232.35,3102.95,3083.8,3412.6,3613.45,-216.22,-150.628,-131.184,True,False,False,0.0,2656.471,0.0,0.0
118, 2015/08/27,2978.03,3083.59,2906.49,3138.6,3485.9,3635.0,-217.764,-134.23,-167.068,True,False,False,0.0,2531.3255,0.0,0.0
119, 2015/08/26,2980.79,2927.29,2850.71,3255.0,3573.0,3666.1,-201.421,-113.347,-176.149,True,False,False,0.0,2533.6715,0.0,0.0
120, 2015/08/25,3004.13,2964.97,2947.94,3428.2,3668.9,3709.15,-161.717,-91.328,-140.778,True,False,False,0.0,2553.5105,0.0,0.0
121, 2015/08/24,3373.48,3209.91,3191.88,3584.8,3765.2,3744.05,-112.524,-73.731,-77.587,True,False,False,0.0,2867.458,0.0,0.0
