,date,open,close,low,KDJ.K,KDJ.D,KDJ.J,kdjdown,earning,stoploss_point,stoploss,earning_with_stoploss
250, 2015/02/12,3435.359,3442.869,3405.629,53.623,39.057,82.755,False,0.0,2920.05515,0.0,0.0
251, 2015/02/11,3415.979,3434.119,3412.139,41.593,31.774,61.23,False,0.0,2903.58215,0.0,0.0
252, 2015/02/10,3345.079,3406.939,3339.549,29.933,26.865,36.07,True,-235.528,2843.31715,-501.76185,-501.76185
253, 2015/02/09,3305.729,3345.919,3298.599,18.397,25.331,4.53,True,-216.368,2809.86965,-495.85935,-216.368
254, 2015/02/06,3352.329,3312.419,3285.939,17.511,28.797,-5.063,True,-233.458,2849.47965,-502.84935,-502.84935
255, 2015/02/05,3487.949,3366.949,3366.859,22.258,34.441,-2.108,True,-436.368,2964.75665,-523.19235,-523.19235
256, 2015/02/04,3446.139,3401.769,3399.559,29.696,40.532,8.023,True,-392.438,2929.21815,-516.92085,-516.92085
257, 2015/02/03,3388.599,3437.449,3360.719,34.803,45.95,12.508,True,-325.278,2880.30915,-508.28985,-508.28985
258, 2015/02/02,3360.189,3353.959,3347.079,36.109,51.524,5.279,True,-323.148,2856.16065,-504.02835,-504.02835
259, 2015/01/30,3496.889,3434.389,3431.939,52.938,59.231,40.351,True,-550.178,2972.35565,-524.53335,-524.53335
260, 2015/01/29,3474.919,3481.799,3453.899,61.416,62.378,59.493,False,0.0,2953.68115,0.0,0.0
261, 2015/01/28,3547.239,3525.319,3512.389,66.288,62.859,73.147,False,0.0,3015.15315,0.0,0.0
262, 2015/01/27,3614.039,3574.929,3510.019,69.766,61.144,87.01,False,0.0,3071.93315,0.0,0.0
263, 2015/01/26,3580.119,3607.989,3559.379,67.611,56.833,89.168,False,0.0,3043.10115,0.0,0.0
264, 2015/01/23,3582.089,3571.729,3548.629,59.466,51.444,75.511,False,0.0,3044.77565,0.0,0.0
265, 2015/01/22,3551.049,3567.609,3520.049,52.637,47.433,63.046,True,-604.958,3018.39165,-532.65735,-532.65735
266, 2015/01/21,3420.489,3548.889,3409.429,43.006,44.831,39.356,True,-566.728,2907.41565,-513.07335,-513.07335
267, 2015/01/20,3336.789,3396.219,3325.679,33.854,45.743,10.075,True,-406.438,2836.27065,-500.51835,-406.438
268, 2015/01/19,3414.01,3355.159,3330.979,41.093,51.688,19.904,False,0.0,2901.9085,0.0,0.0
269, 2015/01/16,3616.25,3635.149,3601.26,58.27,56.985,60.839,True,-487.359,3073.8125,-542.4375,-542.4375
270, 2015/01/15,3501.72,3604.12,3482.27,49.356,56.343,35.382,True,-388.259,2976.462,-525.258,-525.258
271, 2015/01/14,3522.91,3502.42,3471.56,42.777,59.836,8.659,True,-441.559,2994.4735,-528.4365,-528.4365
272, 2015/01/13,3506.449,3514.04,3494.77,53.645,68.366,24.203,True,-332.068,2980.48165,-525.96735,-525.96735
