,date,open,close,low,KDJ.K,KDJ.D,KDJ.J,kdjup,earning,stoploss_point,stoploss,earning_with_stoploss
250, 2015/02/12,3435.359,3442.869,3405.629,53.623,39.057,82.755,True,-487.328,2920.05515,-515.30385,-515.30385
251, 2015/02/11,3415.979,3434.119,3412.139,41.593,31.774,61.23,True,-497.228,2903.58215,-512.39685,-512.39685
252, 2015/02/10,3345.079,3406.939,3339.549,29.933,26.865,36.07,False,0.0,2843.31715,0.0,0.0
253, 2015/02/09,3305.729,3345.919,3298.599,18.397,25.331,4.53,False,0.0,2809.86965,0.0,0.0
254, 2015/02/06,3352.329,3312.419,3285.939,17.511,28.797,-5.063,False,0.0,2849.47965,0.0,0.0
255, 2015/02/05,3487.949,3366.949,3366.859,22.258,34.441,-2.108,False,0.0,2964.75665,0.0,0.0
256, 2015/02/04,3446.139,3401.769,3399.559,29.696,40.532,8.023,False,0.0,2929.21815,0.0,0.0
257, 2015/02/03,3388.599,3437.449,3360.719,34.803,45.95,12.508,False,0.0,2880.30915,0.0,0.0
258, 2015/02/02,3360.189,3353.959,3347.079,36.109,51.524,5.279,False,0.0,2856.16065,0.0,0.0
259, 2015/01/30,3496.889,3434.389,3431.939,52.938,59.231,40.351,False,0.0,2972.35565,0.0,0.0
260, 2015/01/29,3474.919,3481.799,3453.899,61.416,62.378,59.493,True,-511.128,2953.68115,-521.23785,-521.23785
261, 2015/01/28,3547.239,3525.319,3512.389,66.288,62.859,73.147,True,-562.478,3015.15315,-532.08585,-532.08585
262, 2015/01/27,3614.039,3574.929,3510.019,69.766,61.144,87.01,True,-665.398,3071.93315,-542.10585,-542.10585
263, 2015/01/26,3580.119,3607.989,3559.379,67.611,56.833,89.168,True,-618.788,3043.10115,-537.01785,-537.01785
264, 2015/01/23,3582.089,3571.729,3548.629,59.466,51.444,75.511,True,-681.038,3044.77565,-537.31335,-537.31335
265, 2015/01/22,3551.049,3567.609,3520.049,52.637,47.433,63.046,False,0.0,3018.39165,0.0,0.0
266, 2015/01/21,3420.489,3548.889,3409.429,43.006,44.831,39.356,False,0.0,2907.41565,0.0,0.0
267, 2015/01/20,3336.789,3396.219,3325.679,33.854,45.743,10.075,False,0.0,2836.27065,0.0,0.0
268, 2015/01/19,3414.01,3355.159,3330.979,41.093,51.688,19.904,True,-473.499,2901.9085,-512.1015,-473.499
269, 2015/01/16,3616.25,3635.149,3601.26,58.27,56.985,60.839,False,0.0,3073.8125,0.0,0.0
