,date,open,close,high,low,ma5,ma10,ma20,rolling_low,stop_loss,earnings,ma5_up_10,ma_cross_earnings
0, 2016/02/26,2045.508,2014.918,2057.798,1980.168,2143.9,2165.55,2104.425,,1943.2326,-102.2754,,
1, 2016/02/25,2198.928,2037.138,2198.928,2030.418,2183.125,2173.762,2111.156,,2088.9816,-109.9464,,
2, 2016/02/24,2212.588,2203.738,2230.008,2154.268,2213.875,2182.712,2114.925,,2101.9586,-110.6294,,
3, 2016/02/23,2245.748,2218.118,2249.688,2189.528,2216.2,2171.387,2114.969,,2133.4606,-112.2874,,
4, 2016/02/22,2235.168,2245.558,2245.558,2216.158,2212.95,2157.1,2116.144,,2123.4096,-111.7584,,
5, 2016/02/19,2186.009,2211.009,2230.219,2182.958,2187.2,2131.813,2112.613,,2076.70855,-109.30045,,
6, 2016/02/18,2230.798,2190.908,2239.908,2188.188,2164.4,2110.113,2107.706,,2119.2581,-111.5399,,
7, 2016/02/17,2197.928,2215.338,2219.779,2170.999,2151.55,2081.675,2106.913,,2088.0316,-109.8964,,
8, 2016/02/16,2128.058,2201.928,2208.568,2128.058,2126.575,2059.887,2099.131,,2021.6551,-106.4029,,
9, 2016/02/15,2029.558,2116.838,2130.358,2029.558,2101.25,2039.1,2096.419,,1928.0801,-101.4779,,
10, 2016/02/05,2127.349,2096.989,2141.559,2096.989,2076.425,2043.3,2095.887,,2020.98155,-106.36745,True,-106.36745000000019
11, 2016/02/04,2095.619,2126.639,2142.869,2095.619,2055.825,2048.55,2103.488,,1990.83805,-104.78095,,
12, 2016/02/03,2049.319,2090.509,2105.379,2034.599,2011.8,2047.137,2109.988,,1946.85305,-102.46595,,
13, 2016/02/02,1996.589,2075.289,2089.209,1996.589,1993.2,2058.55,2128.875,,1896.75955,-99.82945,,
14, 2016/02/01,1989.209,1992.689,2011.679,1956.919,1976.95,2075.188,2145.95,,1889.74855,-99.46045,,
15, 2016/01/29,1908.259,1994.059,2011.059,1907.289,2010.175,2093.413,2170.875,,1812.84605,-95.41295,,
16, 2016/01/28,1969.308,1906.458,1990.918,1900.878,2041.275,2105.3,2206.881,,1870.8426,-98.4654,,
17, 2016/01/27,1997.318,1997.458,2012.298,1888.249,2082.475,2132.15,2250.531,,1897.4521,-99.8659,,
18, 2016/01/26,2132.219,1994.048,2135.559,1990.509,2123.9,2138.375,2288.144,,2025.60805,-106.61095,,
19, 2016/01/25,2165.729,2158.819,2185.208,2136.878,2173.425,2153.738,2325.219,,2057.44255,-108.28645,,
20, 2016/01/22,2140.279,2149.589,2161.239,2078.119,2176.65,2148.475,2357.012,,2033.26505,-107.01395,,
21, 2016/01/21,2173.309,2112.399,2241.469,2112.399,2169.325,2158.425,2389.325,,2064.64355,-108.66545,True,-108.66544999999996
22, 2016/01/20,2222.599,2204.649,2249.359,2190.499,2181.825,2172.837,2422.9,,2111.46905,-111.12995,,
23, 2016/01/19,2170.089,2241.699,2244.779,2148.719,2152.85,2199.2,2454.663,,2061.58455,-108.50445,,
24, 2016/01/18,2074.859,2174.929,2206.829,2074.859,2134.05,2216.712,2484.075,,1971.11605,-103.74295,,
25, 2016/01/15,2160.169,2112.899,2184.559,2096.189,2120.3,2248.337,2516.837,,2052.16055,-108.00845,,
26, 2016/01/14,1991.229,2175.009,2179.379,1989.869,2147.525,2308.462,2552.981,,1891.66755,-99.56145,,
27, 2016/01/13,2160.319,2059.779,2174.229,2059.779,2163.85,2368.913,2582.387,,2052.30305,-108.01595,,
28, 2016/01/12,2117.249,2147.529,2179.089,2087.269,2245.55,2437.913,2616.681,,2011.38655,-105.86245,,
29, 2016/01/11,2188.189,2106.359,2230.419,2105.769,2299.375,2496.7,2644.762,,2078.77955,-109.40945,,
30, 2016/01/08,2297.589,2248.989,2318.119,2142.329,2376.375,2565.55,2673.019,,2182.70955,-114.87945,,
31, 2016/01/07,2415.329,2256.519,2415.329,2254.499,2469.4,2620.225,2695.344,,2294.56255,-120.76645,,
32, 2016/01/06,2433.359,2468.369,2472.189,2388.689,2573.975,2672.962,2715.906,,2311.69105,-121.66795,,
33, 2016/01/05,2353.229,2416.729,2481.199,2333.609,2630.275,2710.125,2727.075,,2235.56755,-117.66145,,
34, 2016/01/04,2706.269,2491.239,2710.299,2490.469,2694.025,2751.438,2743.144,,2570.95555,-135.31345,,
35, 2015/12/31,2780.539,2714.049,2785.659,2713.689,2754.725,2785.337,2753.194,,2641.51205,-139.02695,,
36, 2015/12/30,2758.249,2779.509,2781.839,2749.289,2771.05,2797.5,2752.894,,2620.33655,-137.91245,,
37, 2015/12/29,2732.549,2749.819,2749.819,2710.199,2771.95,2795.863,2744.581,,2595.92155,-136.62745,,
38, 2015/12/28,2809.519,2735.489,2823.749,2735.489,2789.975,2795.45,2739.856,,2669.04305,-140.47595,,
39, 2015/12/25,2807.509,2794.729,2820.529,2777.459,2808.85,2792.825,2736.712,,2667.13355,-140.37545,,
40, 2015/12/24,2775.979,2795.779,2801.559,2735.969,2815.95,2780.488,2729.456,,2637.18005,-138.79895,,
41, 2015/12/23,2845.429,2783.939,2848.829,2779.929,2823.95,2770.462,2731.325,,2703.15755,-142.27145,,
42, 2015/12/22,2836.959,2839.849,2849.359,2811.609,2819.775,2758.85,2737.006,,2695.11105,-141.84795,,
43, 2015/12/21,2825.309,2829.919,2836.609,2800.349,2800.925,2744.025,2735.813,,2684.04355,-141.26545,,
44, 2015/12/18,2836.919,2830.259,2850.689,2801.639,2776.8,2734.85,2732.85,,2695.07305,-141.84595,,
45, 2015/12/17,2784.969,2835.699,2835.699,2784.969,2745.025,2721.05,2731.344,,2645.72055,-139.24845,,
46, 2015/12/16,2760.259,2763.109,2789.279,2749.789,2716.975,2708.288,2728.094,,2622.24605,-138.01295,,
