,date,open,close,high,low,ma5,ma10,ma20,KDJ.K,KDJ.D,KDJ.J,magtma,gt_ma,lt_ma,ma_up,ma_down,ma_crossup,kdj_up,kdj_down,all,earning,stoploss_point,stoploss,earning_with_stoploss
200, 2015/05/04,8799.729,8812.72,8845.069,8693.97,8792.2,8725.9,8608.5,299.454,337.186,-75.465,True,False,True,False,True,False,False,True,False,0.0,7919.7561,0.0,0.0
201, 2015/04/30,8828.28,8777.18,8893.53,8776.649,8807.4,8688.8,8587.05,310.955,346.619,-71.329,True,False,True,True,False,False,False,True,False,0.0,7945.452,0.0,0.0
202, 2015/04/29,8602.64,8798.149,8822.78,8566.56,8829.2,8656.1,8559.85,324.729,355.536,-61.612,True,False,True,True,False,False,False,True,False,0.0,7742.376,0.0,0.0
203, 2015/04/28,8936.58,8637.2,8953.809,8551.2,8824.8,8610.4,8520.25,335.453,363.237,-55.568,True,True,True,True,False,False,False,True,False,0.0,8042.922,0.0,0.0
204, 2015/04/27,8973.88,8935.34,9070.93,8881.6,8804.0,8613.0,8485.65,360.648,370.183,-19.069,True,True,True,True,False,False,False,True,False,0.0,8076.492,0.0,0.0
205, 2015/04/24,8798.979,8889.79,8936.22,8745.79,8659.6,8590.9,8432.75,357.204,372.567,-30.725,True,True,True,True,False,True,False,True,False,0.0,7919.0811,0.0,0.0
206, 2015/04/23,8828.059,8886.08,8936.129,8766.999,8570.2,8553.9,8375.75,352.25,376.407,-48.314,True,True,True,True,False,False,False,True,False,0.0,7945.2531,0.0,0.0
207, 2015/04/22,8604.269,8775.929,8781.379,8604.269,8483.0,8493.3,8326.45,341.182,382.447,-82.53,True,False,True,False,True,False,False,True,False,0.0,7743.8421,0.0,0.0
208, 2015/04/21,8224.549,8532.519,8532.629,8224.549,8396.0,8458.5,8275.95,333.307,392.763,-118.912,True,False,True,False,True,False,False,True,False,0.0,7402.0941,0.0,0.0
209, 2015/04/20,8407.759,8214.039,8425.239,8179.389,8422.0,8464.9,8232.85,343.192,407.627,-128.87,True,False,True,False,True,False,False,True,False,0.0,7566.9831,0.0,0.0
210, 2015/04/17,8497.279,8442.209,8533.589,8402.099,8522.2,8491.1,8193.35,383.244,423.736,-80.984,True,False,True,True,False,False,False,True,False,0.0,7647.5511,0.0,0.0
211, 2015/04/16,8237.769,8450.188,8551.299,8177.999,8537.6,8485.3,8139.9,405.558,433.859,-56.601,True,False,True,False,True,False,False,True,False,0.0,7413.9921,0.0,0.0
212, 2015/04/15,8630.879,8340.269,8630.879,8340.269,8503.6,8463.6,8085.35,427.327,440.934,-27.214,True,True,True,True,False,False,True,False,False,0.0,7767.7911,0.0,0.0
213, 2015/04/14,8728.749,8663.159,8775.349,8588.438,8521.0,8430.1,8029.35,460.088,444.336,31.506,True,True,True,True,False,False,True,False,False,0.0,7855.8741,0.0,0.0
214, 2015/04/13,8573.509,8715.119,8739.699,8517.429,8507.8,8358.3,7955.9,462.335,440.397,43.876,True,False,True,True,False,False,True,False,False,0.0,7716.1581,0.0,0.0
215, 2015/04/10,8254.969,8519.188,8538.269,8211.438,8460.0,8274.6,7866.75,453.188,434.913,36.551,True,False,True,True,False,False,True,False,False,0.0,7429.4721,0.0,0.0
216, 2015/04/09,8421.99,8280.24,8421.99,7993.34,8433.0,8197.6,7782.3,454.871,430.344,49.054,True,False,True,True,False,False,True,False,False,0.0,7579.791,0.0,0.0
217, 2015/04/08,8626.46,8428.14,8628.34,8301.45,8423.6,8159.6,7710.4,474.732,424.212,101.039,True,True,True,True,False,False,True,False,False,0.0,7763.814,0.0,0.0
218, 2015/04/07,8511.49,8596.27,8597.95,8511.49,8339.2,8093.4,7632.55,478.118,411.582,133.071,True,True,True,True,False,False,True,False,False,0.0,7660.341,0.0,0.0
219, 2015/04/03,8337.21,8476.14,8484.21,8304.16,8208.8,8000.8,7539.55,458.366,394.948,126.834,True,True,True,True,False,False,True,False,False,0.0,7503.489,0.0,0.0
220, 2015/04/02,8304.58,8384.18,8400.5,8253.88,8089.2,7895.6,7447.8,438.719,379.094,119.25,True,True,True,True,False,False,True,False,False,0.0,7474.122,0.0,0.0
221, 2015/04/01,8026.96,8233.14,8267.438,8025.03,7962.2,7794.5,7368.7,416.625,364.188,104.875,True,True,True,True,False,False,True,False,False,0.0,7224.264,0.0,0.0
222, 2015/03/31,7957.3,8005.86,8111.67,7919.04,7895.6,7707.1,7295.3,397.744,351.079,93.331,True,True,True,True,False,False,True,False,False,0.0,7161.57,0.0,0.0
223, 2015/03/30,7895.35,7945.12,7979.8,7875.09,7847.6,7628.6,7227.25,391.0,339.412,103.177,True,False,True,True,False,False,True,False,False,0.0,7105.815,0.0,0.0
224, 2015/03/27,7758.59,7877.51,7898.26,7737.94,7792.8,7553.5,7166.9,382.891,326.515,112.751,True,False,True,True,False,False,True,False,False,0.0,6982.731,0.0,0.0
225, 2015/03/26,7866.36,7748.86,7917.37,7681.65,7702.0,7458.9,7104.55,373.854,312.421,122.865,True,True,True,True,False,False,True,False,False,0.0,7079.724,0.0,0.0
226, 2015/03/25,7765.8,7900.5,7969.29,7737.49,7626.8,7367.0,7045.55,369.98,297.063,145.834,True,False,True,True,False,False,True,False,False,0.0,6989.22,0.0,0.0
227, 2015/03/24,7696.39,7765.89,7777.93,7469.81,7518.6,7261.2,6976.35,344.215,278.834,130.763,True,True,True,True,False,False,True,False,False,0.0,6926.751,0.0,0.0
228, 2015/03/23,7471.74,7671.22,7671.6,7471.74,7409.6,7171.7,6916.45,320.029,262.489,115.08,True,True,True,True,False,False,True,False,False,0.0,6724.566,0.0,0.0
229, 2015/03/20,7362.03,7423.81,7481.58,7359.63,7314.2,7078.3,6860.2,294.142,248.104,92.077,True,True,True,True,False,False,True,False,False,0.0,6625.827,0.0,0.0
230, 2015/03/19,7364.67,7373.49,7374.16,7297.49,7215.8,7000.0,6806.95,282.014,236.594,90.839,True,True,True,True,False,False,True,False,False,0.0,6628.203,0.0,0.0
231, 2015/03/18,7214.92,7358.89,7365.79,7175.75,7107.2,6942.9,6751.3,267.555,225.239,84.632,True,True,True,True,False,False,True,False,False,0.0,6493.428,0.0,0.0
232, 2015/03/17,7228.16,7221.13,7256.12,7135.66,7003.8,6883.5,6694.6,246.696,214.66,64.072,True,True,True,True,False,False,True,False,False,0.0,6505.344,0.0,0.0
233, 2015/03/16,6991.54,7193.209,7193.629,6988.049,6933.8,6825.9,6640.6,230.51,206.651,47.717,True,True,True,True,False,False,True,False,False,0.0,6292.386,0.0,0.0
234, 2015/03/13,6866.229,6932.04,6932.5,6850.2,6842.4,6780.3,6580.65,209.34,200.686,17.308,True,False,True,True,False,False,True,False,False,0.0,6179.6061,0.0,0.0
235, 2015/03/12,6883.129,6830.31,6895.6,6766.25,6784.2,6750.2,6535.35,205.867,198.523,14.689,True,True,True,True,False,False,True,False,False,0.0,6194.8161,0.0,0.0
236, 2015/03/11,6878.429,6841.919,6898.609,6817.369,6778.6,6724.1,6501.45,208.798,196.687,24.222,True,False,True,True,False,False,True,False,False,0.0,6190.5861,0.0,0.0
237, 2015/03/10,6747.909,6870.969,6894.939,6743.359,6763.2,6691.5,6467.6,208.319,193.659,29.321,True,False,True,False,True,False,True,False,False,0.0,6073.1181,0.0,0.0
238, 2015/03/09,6610.109,6736.909,6736.909,6567.379,6718.0,6661.2,6433.55,201.72,189.994,23.452,True,False,True,True,False,False,True,False,False,0.0,5949.0981,0.0,0.0
