,date,open,close,low,earning,stoploss_point,stoploss,earning_with_stoploss
50, 2015/12/10,8109.229,8134.479,8101.209,-1805.007,7298.3061,-810.9229,-810.9229
51, 2015/12/09,8093.029,8115.759,8050.629,-1808.407,7283.7261,-809.3029,-809.3029
52, 2015/12/08,8278.789,8139.189,8125.549,-1494.687,7450.9101,-827.8789,-827.8789
53, 2015/12/07,8242.269,8316.889,8176.719,-1443.687,7418.0421,-824.2269,-824.2269
54, 2015/12/04,8298.068,8235.209,8177.028,-1454.136,7468.2612,-829.8068,-829.8068
55, 2015/12/03,8190.469,8346.629,8190.469,-1475.487,7371.4221,-819.0469,-819.0469
56, 2015/12/02,8146.639,8183.649,7918.329,-1459.177,7331.9751,-814.6639,-814.6639
57, 2015/12/01,8147.429,8163.049,8068.529,-1420.207,7332.6861,-814.7429,-814.7429
58, 2015/11/30,8109.259,8163.049,7744.349,-1465.377,7298.3331,-810.9259,-810.9259
59, 2015/11/27,8605.609,8096.449,8033.21,-2204.727,7745.0481,-860.5609,-860.5609
60, 2015/11/26,8801.56,8655.06,8641.78,-2402.338,7921.404,-880.156,-880.156
61, 2015/11/25,8617.5,8754.109,8597.96,-2132.729,7755.75,-861.75,-861.75
62, 2015/11/24,8522.16,8613.72,8427.46,-2123.639,7669.944,-852.216,-852.216
63, 2015/11/23,8564.88,8532.52,8495.229,-2173.289,7708.392,-856.488,-856.488
64, 2015/11/20,8553.63,8580.42,8490.38,-2351.639,7698.267,-855.363,-855.363
65, 2015/11/19,8295.79,8519.069,8295.79,-2022.879,7466.211,-829.579,-829.579
66, 2015/11/18,8443.96,8266.7,8247.31,-2396.609,7599.564,-844.396,-844.396
67, 2015/11/17,8594.68,8447.52,8418.72,-2338.599,7735.212,-859.468,-859.468
68, 2015/11/16,8213.56,8513.26,8202.47,-1909.039,7392.204,-821.356,-821.356
69, 2015/11/13,8441.79,8345.63,8266.41,-1681.239,7597.611,-844.179,-844.179
70, 2015/11/12,8612.819,8534.12,8413.04,-1911.858,7751.5371,-861.2819,-861.2819
71, 2015/11/11,8457.189,8554.569,8375.42,-1824.338,7611.4701,-845.7189,-845.7189
72, 2015/11/10,8364.099,8443.87,8318.449,-1487.739,7527.6891,-836.4099,-836.4099
73, 2015/11/09,8227.919,8406.659,8173.929,-1256.289,7405.1271,-822.7919,-822.7919
74, 2015/11/06,8065.059,8265.499,8065.059,-1323.378,7258.5531,-806.5059,-806.5059
75, 2015/11/05,8057.459,8032.869,7965.749,-1425.348,7251.7131,-805.7459,-805.7459
76, 2015/11/04,7672.129,8039.349,7672.129,-830.038,6904.9161,-767.2129,-767.2129
77, 2015/11/03,7677.609,7630.679,7562.589,-1075.298,6909.8481,-767.7609,-767.7609
78, 2015/11/02,7623.189,7646.999,7591.109,-812.418,6860.8701,-762.3189,-762.3189
79, 2015/10/30,7769.059,7795.919,7642.459,-1023.739,6992.1531,-776.9059,-776.9059
80, 2015/10/29,7772.019,7771.859,7646.319,-571.719,6994.8171,-777.2019,-571.719
81, 2015/10/28,7873.539,7724.009,7687.199,-760.019,7086.1851,-787.3539,-760.019
82, 2015/10/27,7820.359,7928.629,7540.319,-72.639,7038.3231,-782.0359,-72.639
83, 2015/10/26,7927.149,7889.239,7775.929,-322.819,7134.4341,-792.7149,-322.819
84, 2015/10/23,7713.169,7823.709,7654.719,-9.979,6941.8521,-771.3169,-9.979
85, 2015/10/22,7392.719,7671.759,7377.209,1001.111,6653.4471,-739.2719,1001.111
86, 2015/10/21,7876.109,7411.859,7374.519,666.091,7088.4981,-787.6109,666.091
87, 2015/10/20,7685.979,7875.639,7668.639,781.411,6917.3811,-768.5979,781.411
88, 2015/10/19,7743.059,7703.729,7613.329,649.611,6968.7531,-774.3059,649.611
89, 2015/10/16,7674.289,7710.469,7557.458,891.431,6906.8601,-767.4289,891.431
90, 2015/10/15,7377.529,7628.349,7377.529,1139.811,6639.7761,-737.7529,1139.811
91, 2015/10/14,7446.259,7399.969,7379.759,1109.881,6701.6331,-744.6259,1109.881
92, 2015/10/13,7375.938,7480.369,7346.809,1276.702,6638.3442,-737.5938,1276.702
93, 2015/10/12,7174.919,7428.179,7169.939,1398.781,6457.4271,-717.4919,1398.781
94, 2015/10/09,7026.819,7133.519,7001.349,1452.051,6324.1371,-702.6819,1452.051
95, 2015/10/08,7020.129,7038.189,6970.209,1492.341,6318.1161,-702.0129,1492.341
96, 2015/09/30,6771.729,6779.699,6705.918,1572.621,6094.5561,-677.1729,1572.621
97, 2015/09/29,6738.258,6743.208,6692.928,1585.172,6064.4322,-673.8258,1585.172
98, 2015/09/28,6729.308,6850.118,6629.428,1530.381,6056.3772,-672.9308,1530.381
99, 2015/09/25,6909.068,6708.308,6661.208,1173.621,6218.1612,-690.9068,1173.621
100, 2015/09/24,6906.618,6939.558,6853.808,1227.861,6215.9562,-690.6618,1227.861
101, 2015/09/23,6826.018,6861.668,6804.368,1289.741,6143.4162,-682.6018,1289.741
102, 2015/09/22,6898.568,6941.158,6844.769,1240.621,6208.7112,-689.8568,1240.621
103, 2015/09/21,6543.608,6865.578,6518.958,1773.281,5889.2472,-654.3608,1773.281
104, 2015/09/18,6611.258,6615.398,6526.698,1623.951,5950.1322,-661.1258,1623.951
105, 2015/09/17,6645.488,6559.538,6559.538,1701.141,5980.9392,-664.5488,1701.141
106, 2015/09/16,6267.147,6667.578,6248.518,1916.502,5640.4323,-626.7147,1916.502
107, 2015/09/15,6424.037,6241.237,6219.377,1739.012,5781.6333,-642.4037,1739.012
108, 2015/09/14,7129.917,6583.037,6567.847,1033.132,6416.9253,-712.9917,-712.9917
109, 2015/09/11,7053.797,7094.407,7002.277,1042.652,6348.4173,-705.3797,-705.3797
110, 2015/09/10,7097.328,7067.397,7057.417,1557.732,6387.5952,-709.7328,-709.7328
111, 2015/09/09,7026.288,7214.288,7014.778,1727.821,6323.6592,-702.6288,-702.6288
112, 2015/09/08,6715.397,7013.538,6630.627,1898.323,6043.8573,-671.5397,1898.323
113, 2015/09/07,6893.228,6787.737,6751.018,1639.292,6203.9052,-689.3228,1639.292
114, 2015/09/02,6559.958,6849.938,6548.967,2020.462,5903.9622,-655.9958,2020.462
115, 2015/09/01,7019.958,6860.518,6716.237,1499.111,6317.9622,-701.9958,-701.9958
116, 2015/08/31,7245.948,7133.328,7017.398,1020.752,6521.3532,-724.5948,-724.5948
117, 2015/08/28,7038.487,7293.458,6962.447,1409.033,6334.6383,-703.8487,-703.8487
118, 2015/08/27,6811.297,6933.047,6570.387,1701.963,6130.1673,-681.1297,1701.963
119, 2015/08/26,6877.067,6676.208,6586.617,1468.563,6189.3603,-687.7067,1468.563
120, 2015/08/25,6874.397,6856.558,6842.197,1659.723,6186.9573,-687.4397,1659.723
121, 2015/08/24,7668.677,7391.447,7389.337,885.892,6901.8093,-766.8677,-766.8677
122, 2015/08/21,8289.657,8009.027,7998.967,154.213,7460.6913,-828.9657,-828.9657
123, 2015/08/20,8605.066,8436.467,8436.467,-198.407,7744.5594,-860.5066,-860.5066
124, 2015/08/19,8287.997,8684.987,8075.627,-22.498,7459.1973,-828.7997,-828.7997
125, 2015/08/18,9115.856,8514.896,8485.037,-1082.987,8204.2704,-911.5856,-911.5856
126, 2015/08/17,9032.347,9103.316,8963.157,-992.998,8129.1123,-903.2347,-903.2347
127, 2015/08/14,9098.457,9043.347,9001.066,-1467.778,8188.6113,-909.8457,-909.8457
128, 2015/08/13,8816.157,9012.297,8743.566,-1169.158,7934.5413,-881.6157,-881.6157
129, 2015/08/12,8881.307,8807.987,8807.407,-1085.388,7993.1763,-888.1307,-888.1307
130, 2015/08/11,8978.077,8924.757,8888.977,-1206.218,8080.2693,-897.8077,-897.8077
131, 2015/08/10,8676.977,8955.167,8631.066,-952.968,7809.2793,-867.6977,-867.6977
132, 2015/08/07,8480.037,8605.327,8456.207,-551.408,7632.0333,-848.0037,-848.0037
133, 2015/08/06,8304.757,8388.797,8274.617,-415.518,7474.2813,-830.4757,-830.4757
134, 2015/08/05,8600.307,8472.717,8431.047,-776.598,7740.2763,-860.0307,-860.0307
135, 2015/08/04,8259.687,8609.316,8203.337,-587.928,7433.7183,-825.9687,-825.9687
136, 2015/08/03,8228.267,8233.477,8069.227,-816.408,7405.4403,-822.8267,-822.8267
137, 2015/07/31,8203.937,8336.117,8203.937,-328.298,7383.5433,-820.3937,-820.3937
138, 2015/07/30,8579.807,8306.537,8295.757,-876.078,7721.8263,-857.9807,-857.9807
139, 2015/07/29,8381.417,8611.217,8099.077,-670.948,7543.2753,-838.1417,-838.1417
140, 2015/07/28,8020.478,8250.606,7819.348,-392.129,7218.4302,-802.0478,-802.0478
141, 2015/07/27,8884.227,8370.606,8370.606,-1484.258,7995.8043,-888.4227,-888.4227
142, 2015/07/24,9278.567,9075.248,9010.589,-1798.198,8350.7103,-927.8567,-927.8567
143, 2015/07/23,9061.317,9260.388,8989.668,-1633.138,8155.1853,-906.1317,-906.1317
144, 2015/07/22,8982.078,9059.048,8859.408,-1848.559,8083.8702,-898.2078,-898.2078
145, 2015/07/21,8806.008,8999.718,8717.208,-1767.819,7925.4072,-880.6008,-880.6008
146, 2015/07/20,8823.338,8890.118,8710.078,-2043.639,7941.0042,-882.3338,-882.3338
147, 2015/07/17,8361.308,8742.147,8336.738,-1618.1,7525.1772,-836.1308,-836.1308
148, 2015/07/16,7990.837,8277.098,7741.518,-1140.719,7191.7533,-799.0837,-799.0837
149, 2015/07/15,8589.228,8117.237,8116.039,-1880.92,7730.3052,-858.9228,-858.9228
