,date,open,close,low,KDJ.K,KDJ.D,KDJ.J,kdjup,earning,stoploss_point,stoploss,earning_with_stoploss
100, 2015/09/24,3126.491,3142.691,3109.691,-113.905,-142.424,57.037,True,-359.278,2657.51735,-468.97365,-468.97365
101, 2015/09/23,3137.721,3115.891,3104.741,-122.093,-149.554,54.922,True,-396.468,2667.06285,-470.65815,-470.65815
102, 2015/09/22,3161.321,3185.621,3152.48,-128.038,-156.419,56.761,True,-232.418,2687.12285,-474.19815,-474.19815
103, 2015/09/21,3072.091,3156.541,3060.861,-140.865,-163.514,45.299,True,-168.758,2611.27735,-460.81365,-168.758
104, 2015/09/18,3100.281,3097.921,3070.341,-152.226,-169.176,33.901,True,-173.099,2635.23885,-465.04215,-173.099
105, 2015/09/17,3131.981,3086.061,3085.311,-158.544,-173.414,29.74,True,-271.959,2662.18385,-469.79715,-469.79715
106, 2015/09/16,2998.041,3152.261,2983.541,-163.094,-177.132,28.075,True,-135.149,2548.33485,-449.70615,-135.149
107, 2015/09/15,3043.801,3005.171,2983.921,-173.271,-180.641,14.741,True,-176.459,2587.23085,-456.57015,-176.459
108, 2015/09/14,3221.171,3114.801,3049.231,-168.762,-182.483,27.442,True,-384.599,2737.99535,-483.17565,-483.17565
109, 2015/09/11,3189.481,3200.231,3163.451,-171.716,-185.914,28.396,True,-443.279,2711.05885,-478.42215,-478.42215
110, 2015/09/10,3190.551,3197.891,3178.901,-181.686,-189.463,15.554,False,0.0,2711.96835,0.0,0.0
111, 2015/09/09,3182.551,3243.091,3165.7,-191.531,-191.407,-0.247,False,0.0,2705.16835,0.0,0.0
112, 2015/09/08,3054.44,3170.45,3011.12,-205.913,-191.376,-29.073,False,0.0,2596.274,0.0,0.0
113, 2015/09/07,3149.38,3080.42,3066.3,-213.878,-187.742,-52.272,False,0.0,2676.973,0.0,0.0
114, 2015/09/02,3027.68,3160.17,3019.09,-211.768,-181.208,-61.118,False,0.0,2573.528,0.0,0.0
115, 2015/09/01,3157.83,3166.62,3053.74,-214.113,-173.569,-81.089,False,0.0,2684.1555,0.0,0.0
116, 2015/08/31,3203.56,3205.99,3109.16,-214.649,-163.432,-102.434,False,0.0,2723.026,0.0,0.0
117, 2015/08/28,3125.26,3232.35,3102.95,-216.22,-150.628,-131.184,False,0.0,2656.471,0.0,0.0
118, 2015/08/27,2978.03,3083.59,2906.49,-217.764,-134.23,-167.068,False,0.0,2531.3255,0.0,0.0
119, 2015/08/26,2980.79,2927.29,2850.71,-201.421,-113.347,-176.149,False,0.0,2533.6715,0.0,0.0
120, 2015/08/25,3004.13,2964.97,2947.94,-161.717,-91.328,-140.778,False,0.0,2553.5105,0.0,0.0
121, 2015/08/24,3373.48,3209.91,3191.88,-112.524,-73.731,-77.587,False,0.0,2867.458,0.0,0.0
122, 2015/08/21,3609.96,3507.74,3490.54,-73.04,-64.032,-18.014,True,-633.268,3068.466,-541.494,-541.494
123, 2015/08/20,3754.57,3664.29,3663.61,-51.905,-61.781,19.752,True,-746.828,3191.3845,-563.1855,-563.1855
124, 2015/08/19,3646.8,3794.11,3558.38,-40.113,-64.25,48.273,True,-732.958,3099.78,-547.02,-547.02
125, 2015/08/18,3999.13,3748.16,3743.39,-37.698,-70.284,65.172,True,-1098.158,3399.2605,-599.8695,-599.8695
126, 2015/08/17,3947.84,3993.67,3907.4,-29.388,-78.43,98.084,True,-940.188,3355.664,-592.176,-592.176
127, 2015/08/14,3976.41,3965.33,3939.83,-43.352,-90.691,94.677,True,-1026.808,3379.9485,-596.4615,-596.4615
128, 2015/08/13,3869.91,3954.56,3838.16,-57.659,-102.525,89.733,True,-847.048,3289.4235,-580.4865,-580.4865
129, 2015/08/12,3881.23,3886.32,3871.14,-73.984,-113.742,79.516,True,-864.528,3299.0455,-582.1845,-582.1845
130, 2015/08/11,3928.81,3927.91,3891.18,-86.797,-123.682,73.77,True,-742.398,3339.4885,-589.3215,-589.3215
131, 2015/08/10,3786.03,3928.42,3775.85,-106.122,-132.903,53.561,True,-661.028,3218.1255,-567.9045,-567.9045
132, 2015/08/07,3692.61,3744.2,3686.3,-129.298,-139.598,20.601,True,-330.768,3138.7185,-553.8915,-553.8915
133, 2015/08/06,3625.5,3661.54,3614.74,-138.24,-142.173,7.866,True,-337.788,3081.675,-543.825,-543.825
134, 2015/08/05,3745.65,3694.57,3676.39,-139.227,-143.156,7.859,True,-449.388,3183.8025,-561.8475,-561.8475
135, 2015/08/04,3621.86,3756.54,3601.29,-141.824,-144.139,4.63,False,0.0,3078.581,0.0,0.0
136, 2015/08/03,3614.99,3622.91,3549.5,-149.385,-144.717,-9.336,True,-42.107,3072.7415,-542.2485,-542.2485
137, 2015/07/31,3655.67,3663.73,3620.17,-143.258,-143.55,0.584,True,-91.927,3107.3195,-548.3505,-548.3505
138, 2015/07/30,3773.79,3705.77,3685.96,-137.51,-143.623,12.227,True,-240.008,3207.7215,-566.0685,-566.0685
139, 2015/07/29,3689.82,3789.17,3612.06,-132.453,-145.152,25.397,True,-61.908,3136.347,-553.473,-553.473
140, 2015/07/28,3573.14,3663.0,3537.36,-132.564,-148.326,31.524,True,39.352,3037.169,-535.971,-535.971
141, 2015/07/27,3985.57,3725.56,3720.44,-117.931,-152.267,68.671,True,-349.478,3387.7345,-597.8355,-597.8355
142, 2015/07/24,4124.75,4070.91,4044.83,-103.909,-160.851,113.884,True,-472.978,3506.0375,-618.7125,-618.7125
143, 2015/07/23,4022.27,4123.92,4019.04,-119.662,-175.086,110.848,True,-379.798,3418.9295,-603.3405,-603.3405
144, 2015/07/22,3996.43,4026.04,3960.86,-143.426,-188.942,91.032,True,-417.468,3396.9655,-599.4645,-599.4645
145, 2015/07/21,3939.9,4017.67,3912.8,-161.706,-200.321,77.231,True,-359.898,3348.915,-590.985,-590.985
146, 2015/07/20,3948.42,3992.11,3927.12,-181.832,-209.975,56.285,True,-432.228,3356.157,-592.263,-592.263
147, 2015/07/17,3831.42,3957.35,3814.15,-202.274,-217.011,29.473,False,0.0,3256.707,0.0,0.0
