,date,open,close,low,KDJ.K,KDJ.D,KDJ.J,kdjgt,earning,stoploss_point,stoploss,earning_with_stoploss
200, 2015/05/04,4757.641,4787.741,4699.401,82.829,84.924,78.638,True,-1809.61,4043.99485,-713.64615,-713.64615
201, 2015/04/30,4788.411,4749.891,4749.481,81.917,85.972,73.807,True,-1869.66,4070.14935,-718.26165,-718.26165
202, 2015/04/29,4722.901,4774.331,4695.791,85.746,88.0,81.24,True,-1613.35,4014.46585,-708.43515,-708.43515
203, 2015/04/28,4811.321,4741.861,4703.571,87.964,89.127,85.638,True,-1721.96,4089.62285,-721.69815,-721.69815
204, 2015/04/27,4753.871,4807.591,4735.311,91.601,89.708,95.387,True,-1635.0,4040.79035,-713.08065,-713.08065
205, 2015/04/24,4682.631,4702.641,4618.321,87.706,88.762,85.594,True,-1631.05,3980.23635,-702.39465,-702.39465
206, 2015/04/23,4764.48,4740.891,4693.971,90.452,89.29,92.775,True,-1710.779,4049.808,-714.672,-714.672
207, 2015/04/22,4637.061,4739.811,4632.59,90.286,88.709,93.442,True,-1573.74,3941.50185,-695.55915,-695.55915
208, 2015/04/21,4520.46,4619.161,4504.561,85.539,87.92,80.778,True,-1483.419,3842.391,-678.069,-678.069
209, 2015/04/20,4615.03,4521.92,4492.6,83.98,89.11,73.72,True,-1668.319,3922.7755,-692.2545,-692.2545
210, 2015/04/17,4578.68,4596.14,4553.9,91.972,91.675,92.567,True,-1614.889,3891.878,-686.802,-686.802
211, 2015/04/16,4355.49,4513.55,4335.63,91.897,91.526,92.639,True,-1370.729,3702.1665,-653.3235,-653.3235
212, 2015/04/15,4439.31,4380.51,4379.61,87.872,91.341,80.934,True,-1490.669,3773.4135,-665.8965,-665.8965
213, 2015/04/14,4432.13,4438.18,4385.91,93.529,93.075,94.436,True,-1470.799,3767.3105,-664.8195,-664.8195
214, 2015/04/13,4394.05,4421.07,4361.59,94.525,92.849,97.878,True,-1492.999,3734.9425,-659.1075,-659.1075
215, 2015/04/10,4249.38,4344.42,4231.2,93.176,92.01,95.507,True,-1303.289,3611.973,-637.407,-637.407
216, 2015/04/09,4316.96,4262.14,4212.61,90.795,91.428,89.529,True,-1463.199,3669.416,-647.544,-647.544
217, 2015/04/08,4277.45,4295.8,4204.83,94.961,91.744,101.396,True,-1347.099,3635.8325,-641.6175,-641.6175
218, 2015/04/07,4213.89,4260.04,4197.02,93.532,90.135,100.325,True,-1273.379,3581.8065,-632.0835,-632.0835
219, 2015/04/03,4104.669,4170.54,4092.379,90.356,88.437,94.195,True,-975.778,3488.96865,-615.70035,-615.70035
220, 2015/04/02,4149.949,4124.779,4068.649,85.538,87.477,81.66,True,-1036.488,3527.45665,-622.49235,-622.49235
221, 2015/04/01,4057.5,4123.899,4046.939,85.613,88.447,79.946,True,-976.149,3448.875,-608.625,-608.625
222, 2015/03/31,4138.879,4051.199,4037.769,84.733,89.864,74.47,True,-964.498,3518.04715,-620.83185,-620.83185
223, 2015/03/30,3999.019,4088.179,3999.019,93.211,92.429,94.775,True,-775.888,3399.16615,-599.85285,-599.85285
224, 2015/03/27,3957.539,3971.699,3932.869,91.811,92.038,91.355,True,-826.808,3363.90815,-593.63085,-593.63085
225, 2015/03/26,3921.749,3949.999,3892.879,91.577,92.152,90.427,True,-803.018,3333.48665,-588.26235,-588.26235
226, 2015/03/25,3961.579,3940.409,3913.989,93.028,92.44,94.203,True,-740.008,3367.34215,-594.23685,-594.23685
227, 2015/03/24,3980.069,3973.049,3883.779,95.799,92.146,103.105,True,-824.188,3383.05865,-597.01035,-597.01035
228, 2015/03/23,3923.079,3972.059,3922.209,95.553,90.319,106.02,True,-707.368,3334.61715,-588.46185,-588.46185
229, 2015/03/20,3852.489,3892.569,3832.419,93.355,87.702,104.66,True,-660.038,3274.61565,-577.87335,-577.87335
230, 2015/03/19,3851.249,3839.739,3809.709,93.032,84.876,109.344,True,-489.688,3273.56165,-577.68735,-577.68735
231, 2015/03/18,3769.089,3846.049,3763.849,91.744,80.798,113.634,True,-474.708,3203.72565,-565.36335,-565.36335
232, 2015/03/17,3733.959,3757.119,3716.809,87.615,75.325,112.195,True,-194.148,3173.86515,-560.09385,-560.09385
233, 2015/03/16,3641.769,3705.669,3621.119,82.213,69.181,108.277,True,-162.988,3095.50365,-546.26535,-546.26535
234, 2015/03/13,3604.669,3617.659,3594.739,73.331,62.664,94.665,True,-135.598,3063.96865,-540.70035,-540.70035
235, 2015/03/12,3557.689,3592.839,3536.529,65.296,57.331,81.227,True,173.312,3024.03565,-533.65335,-533.65335
236, 2015/03/11,3524.569,3524.649,3512.219,52.089,53.348,49.571,True,240.612,2995.88365,-528.68535,-528.68535
237, 2015/03/10,3523.639,3520.609,3511.989,50.111,53.978,42.376,True,238.232,2995.09315,-528.54585,-528.54585
238, 2015/03/09,3449.699,3537.749,3417.489,48.2,55.911,32.776,True,277.932,2932.24415,-517.45485,277.932
239, 2015/03/06,3501.179,3478.519,3472.389,40.851,59.767,3.017,True,337.021,2976.00215,-525.17685,-525.17685
240, 2015/03/05,3513.249,3496.339,3467.679,54.146,69.226,23.986,True,316.151,2986.26165,-526.98735,-526.98735
241, 2015/03/04,3514.669,3530.819,3497.169,68.22,76.766,51.127,True,351.711,2987.46865,-527.20035,-527.20035
242, 2015/03/03,3579.309,3507.899,3504.199,77.191,81.039,69.494,True,297.421,3042.41265,-536.89635,-536.89635
243, 2015/03/02,3603.449,3601.259,3566.529,90.604,82.963,105.884,True,262.512,3062.93165,-540.51735,-540.51735
244, 2015/02/27,3565.229,3572.839,3560.459,87.735,79.143,104.919,True,202.682,3030.44465,-534.78435,-534.78435
245, 2015/02/26,3473.709,3566.289,3456.869,85.906,74.847,108.023,True,282.182,2952.65265,-521.05635,-521.05635
246, 2015/02/25,3529.549,3478.729,3463.959,79.42,69.318,99.625,True,155.891,3000.11665,-529.43235,-529.43235
247, 2015/02/17,3511.539,3522.319,3511.089,80.707,64.267,113.589,True,182.851,2984.80815,-526.73085,-526.73085
248, 2015/02/16,3473.289,3499.479,3466.609,73.951,56.046,109.76,True,238.032,2952.29565,-520.99335,-520.99335
249, 2015/02/13,3458.829,3469.829,3452.079,63.167,47.094,95.314,True,149.232,2940.00465,-518.82435,149.232
250, 2015/02/12,3435.359,3442.869,3405.629,53.623,39.057,82.755,True,187.722,2920.05515,-515.30385,187.722
251, 2015/02/11,3415.979,3434.119,3412.139,41.593,31.774,61.23,True,219.962,2903.58215,-512.39685,219.962
252, 2015/02/10,3345.079,3406.939,3339.549,29.933,26.865,36.07,True,277.942,2843.31715,-501.76185,277.942
253, 2015/02/09,3305.729,3345.919,3298.599,18.397,25.331,4.53,True,381.882,2809.86965,-495.85935,381.882
254, 2015/02/06,3352.329,3312.419,3285.939,17.511,28.797,-5.063,True,325.262,2849.47965,-502.84935,325.262
255, 2015/02/05,3487.949,3366.949,3366.859,22.258,34.441,-2.108,True,261.352,2964.75665,-523.19235,-523.19235
256, 2015/02/04,3446.139,3401.769,3399.559,29.696,40.532,8.023,True,275.812,2929.21815,-516.92085,275.812
257, 2015/02/03,3388.599,3437.449,3360.719,34.803,45.95,12.508,True,203.102,2880.30915,-508.28985,203.102
258, 2015/02/02,3360.189,3353.959,3347.079,36.109,51.524,5.279,True,206.222,2856.16065,-504.02835,206.222
259, 2015/01/30,3496.889,3434.389,3431.939,52.938,59.231,40.351,True,60.102,2972.35565,-524.53335,-524.53335
260, 2015/01/29,3474.919,3481.799,3453.899,61.416,62.378,59.493,True,284.512,2953.68115,-521.23785,-521.23785
261, 2015/01/28,3547.239,3525.319,3512.389,66.288,62.859,73.147,True,234.372,3015.15315,-532.08585,-532.08585
262, 2015/01/27,3614.039,3574.929,3510.019,69.766,61.144,87.01,True,139.852,3071.93315,-542.10585,-542.10585
263, 2015/01/26,3580.119,3607.989,3559.379,67.611,56.833,89.168,True,173.222,3043.10115,-537.01785,-537.01785
264, 2015/01/23,3582.089,3571.729,3548.629,59.466,51.444,75.511,True,192.292,3044.77565,-537.31335,-537.31335
265, 2015/01/22,3551.049,3567.609,3520.049,52.637,47.433,63.046,True,223.922,3018.39165,-532.65735,-532.65735
266, 2015/01/21,3420.489,3548.889,3409.429,43.006,44.831,39.356,True,295.092,2907.41565,-513.07335,295.092
267, 2015/01/20,3336.789,3396.219,3325.679,33.854,45.743,10.075,True,421.602,2836.27065,-500.51835,421.602
268, 2015/01/19,3414.01,3355.159,3330.979,41.093,51.688,19.904,True,350.121,2901.9085,-512.1015,350.121
269, 2015/01/16,3616.25,3635.149,3601.26,58.27,56.985,60.839,True,129.991,3073.8125,-542.4375,-542.4375
270, 2015/01/15,3501.72,3604.12,3482.27,49.356,56.343,35.382,True,293.601,2976.462,-525.258,-525.258
271, 2015/01/14,3522.91,3502.42,3471.56,42.777,59.836,8.659,True,310.741,2994.4735,-528.4365,-528.4365
272, 2015/01/13,3506.449,3514.04,3494.77,53.645,68.366,24.203,True,326.792,2980.48165,-525.96735,-525.96735
273, 2015/01/12,3531.509,3513.579,3461.319,63.301,75.726,38.449,True,308.842,3001.78265,-529.72635,-529.72635
274, 2015/01/09,3547.569,3546.719,3536.399,75.977,81.939,64.052,True,245.802,3015.43365,-532.13535,-532.13535
275, 2015/01/08,3650.069,3559.259,3552.099,84.125,84.92,82.534,True,55.902,3102.55865,-547.51035,-547.51035
276, 2015/01/07,3620.919,3643.789,3601.699,89.753,85.318,98.624,True,7.622,3077.78115,-543.13785,-543.13785
277, 2015/01/06,3608.429,3641.059,3587.229,88.616,83.1,99.647,True,-142.938,3067.16465,-541.26435,-541.26435
278, 2015/01/05,3566.089,3641.539,3551.509,87.186,80.343,100.872,True,-90.128,3031.17565,-534.91335,-534.91335
279, 2014/12/31,3462.389,3533.709,3452.5,83.64,76.921,97.079,True,71.692,2943.03065,-519.35835,71.692
280, 2014/12/30,3450.809,3457.549,3422.169,76.68,73.562,82.917,True,82.502,2933.18765,-517.62135,82.502
281, 2014/12/29,3502.179,3455.459,3405.839,74.956,72.002,80.865,True,22.742,2976.85215,-525.32685,-525.32685
282, 2014/12/26,3343.639,3445.839,3335.009,72.682,70.525,76.997,True,249.242,2842.09315,-501.54585,249.242
283, 2014/12/25,3254.479,3335.419,3226.319,60.78,69.447,43.447,True,334.782,2766.30715,-488.17185,334.782
284, 2014/12/24,3332.149,3230.389,3188.499,60.373,73.78,33.559,True,239.092,2832.32665,-499.82235,239.092
285, 2014/12/23,3358.799,3324.919,3316.909,76.599,80.484,68.829,True,165.732,2854.97915,-503.81985,165.732
286, 2014/12/22,3396.249,3394.479,3357.659,85.784,82.426,92.5,True,77.002,2886.81165,-509.43735,77.002
287, 2014/12/19,3345.629,3383.169,3280.919,86.324,80.747,97.479,True,232.072,2843.78465,-501.84435,232.072
288, 2014/12/18,3359.089,3345.929,3322.229,81.553,77.958,88.742,True,175.092,2855.22565,-503.86335,175.092
289, 2014/12/17,3325.819,3360.599,3275.739,79.449,76.161,86.026,True,208.253,2826.94615,-498.87285,208.253
290, 2014/12/16,3221.359,3303.399,3207.689,72.796,74.517,69.354,True,265.453,2738.15515,-483.20385,265.453
291, 2014/12/15,3176.829,3217.229,3143.299,69.271,75.378,57.057,True,229.283,2700.30465,-476.52435,229.283
292, 2014/12/12,3182.919,3193.229,3167.929,71.842,78.431,58.664,True,262.123,2705.48115,-477.43785,262.123
293, 2014/12/11,3185.159,3183.009,3158.439,74.437,81.725,59.861,True,262.532,2707.38515,-477.77385,262.532
294, 2014/12/10,3120.209,3221.549,3058.189,79.205,85.37,66.877,True,219.912,2652.17765,-468.03135,219.912
295, 2014/12/09,3233.099,3106.909,3074.519,81.649,88.452,68.045,True,63.382,2748.13415,-484.96485,63.382
296, 2014/12/08,3108.269,3252.879,3075.698,93.465,91.853,96.69,True,94.682,2642.02865,-466.24035,94.682
297, 2014/12/05,3143.969,3124.889,3011.939,91.748,91.046,93.151,True,34.882,2672.37365,-471.59535,34.882
298, 2014/12/04,2975.399,3104.349,2968.879,94.046,90.696,100.745,True,267.352,2529.08915,-446.30985,267.352
299, 2014/12/03,2936.119,2967.549,2912.249,91.122,89.021,95.325,True,295.833,2495.70115,-440.41785,295.833
300, 2014/12/02,2807.339,2923.939,2804.289,92.773,87.97,102.38,True,477.663,2386.23815,-421.10085,477.663
301, 2014/12/01,2825.609,2819.809,2808.649,91.599,85.568,103.66,True,437.422,2401.76765,-423.84135,437.422
302, 2014/11/28,2753.929,2808.819,2740.369,92.74,82.553,113.113,True,585.102,2340.83965,-413.08935,585.102
303, 2014/11/27,2737.029,2754.489,2718.699,89.235,77.46,112.786,True,571.222,2326.47465,-410.55435,571.222
304, 2014/11/26,2695.259,2723.019,2690.309,83.853,71.572,108.413,True,556.012,2290.97015,-404.28885,556.012
305, 2014/11/25,2650.079,2685.559,2643.839,75.864,65.432,96.727,True,586.922,2252.56715,-397.51185,586.922
306, 2014/11/24,2614.159,2649.259,2602.939,63.949,60.216,71.414,True,695.092,2222.03515,-392.12385,695.092
307, 2014/11/21,2537.539,2583.459,2530.029,52.278,58.35,40.136,True,614.692,2156.90815,-380.63085,614.692
308, 2014/11/20,2528.779,2537.099,2522.839,45.201,61.385,12.833,True,752.352,2149.46215,-379.31685,752.352
309, 2014/11/19,2538.229,2537.219,2531.319,56.537,69.477,30.657,True,808.962,2157.49465,-380.73435,808.962
310, 2014/11/18,2565.269,2541.419,2534.929,65.635,75.947,45.011,True,792.292,2180.47865,-384.79035,792.292
311, 2014/11/17,2613.509,2567.099,2565.939,76.166,81.103,66.291,True,785.802,2221.48265,-392.02635,785.802
312, 2014/11/14,2569.209,2581.089,2557.669,82.169,83.572,79.363,True,764.812,2183.82765,-385.38135,764.812
313, 2014/11/13,2597.389,2579.749,2567.459,83.865,84.274,83.047,True,653.102,2207.78065,-389.60835,653.102
314, 2014/11/12,2545.399,2594.319,2539.599,86.946,84.478,91.883,True,820.432,2163.58915,-381.80985,820.432
315, 2014/11/11,2578.439,2558.609,2532.569,83.382,83.244,83.657,True,783.642,2191.67315,-386.76585,783.642
316, 2014/11/10,2529.829,2565.729,2514.709,88.868,83.175,100.253,True,836.712,2150.35465,-379.47435,836.712
317, 2014/11/07,2508.759,2502.149,2489.419,83.301,80.329,89.246,True,833.532,2132.44515,-376.31385,833.532
318, 2014/11/06,2505.169,2506.069,2482.979,86.651,78.843,102.268,True,700.472,2129.39365,-375.77535,700.472
319, 2014/11/05,2516.869,2503.449,2499.229,85.546,74.938,106.762,True,508.822,2139.33865,-377.53035,508.822
320, 2014/11/04,2511.04,2513.169,2498.61,84.695,69.634,114.817,True,531.891,2134.384,-376.656,531.891
321, 2014/11/03,2515.82,2512.55,2502.06,80.427,62.104,117.075,True,759.711,2138.447,-377.373,759.711
322, 2014/10/31,2473.5,2508.32,2466.5,74.217,52.942,116.766,True,1116.041,2102.475,-371.025,1116.041
323, 2014/10/30,2450.359,2468.929,2443.759,62.611,42.305,103.223,True,1311.092,2082.80515,-367.55385,1311.092
